order,source,IID1,IID2,FID,H1,H3,S5,S8,Note
2,wild,G0122,G0122,02.MH,619,522,34.56688764,1.661850911,
2,wild,G0132,G0132,02.MH,619,524,48.95023227,1.689908135,
2,wild,G0153,G0153,02.MH,628,533,47.73714282,1.778571729,
2,wild,G0185,G0185,02.MH,619,523,34.7019959,1.690384199,
2,wild,G0193,G0193,02.MH,619,522,32.82961084,1.666480263,
2,wild,G0206,G0206,02.MH,626,527,53.6975129,1.701036407,
2,wild,G0248,G0248,02.MH,618,520,49.81970829,1.635977599,
2,wild,G0264,G0264,02.MH,620,524,47.68178369,1.676291244,
2,wild,G0300,G0300,02.MH,618,523,23.60997977,1.610584665,
2,wild,G0774,G0774,02.MH,637,522,29.82668982,1.750745517,
2,wild,G101,G101,02.MH,620,533,17.07773738,2.67762289,
2,wild,G107,G107,02.MH,618,521,34.11049936,1.654367665,
2,wild,G111,G111,02.MH,626,525,52.00070762,1.713922084,
2,wild,G115,G115,02.MH,620,547,13.14152355,3.00433754,
2,wild,G118,G118,02.MH,619,516,24.32800614,1.593643937,
2,wild,G163,G163,02.MH,618,519,33.85366492,1.627691689,
2,wild,G169,G169,02.MH,617,527,36.66270262,1.688561626,
2,wild,G183,G183,02.MH,618,520,38.96650444,1.623690436,
2,wild,X101,X101,02.MH,620,533,17.07773738,2.67762289,
2,wild,X102,X102,02.MH,620,521,17.50082072,2.363792187,
2,wild,X103,X103,02.MH,620,528,13.24992527,2.553949729,
2,wild,X104,X104,02.MH,620,546,15.41832626,3.027113557,
2,wild,X105,X105,02.MH,620,548,11.46728551,3.047449411,
2,wild,X106,X106,02.MH,620,537,11.18012486,2.678425558,
2,wild,X107,X107,02.MH,620,532,16.04631494,2.653992865,
2,wild,X108,X108,02.MH,620,535,12.82373249,2.728953531,
2,wild,X109,X109,02.MH,620,531,14.14355752,2.624707401,
2,wild,X11,MH04,02.MH,620,529,16.34890281,2.607008051,
2,wild,X110,X110,02.MH,620,541,14.4860026,2.844874321,
2,wild,X113,X113,02.MH,620,524,13.57686232,2.502098698,
2,wild,X114,X114,02.MH,620,524,13.52623825,2.508704807,
2,wild,X115,X115,02.MH,620,547,13.14152355,3.00433754,
2,wild,X116,X116,02.MH,620,545,11.1485343,2.971878038,
2,wild,X117,X117,02.MH,620,533,14.0284949,2.677282282,
2,wild,X118,X118,02.MH,620,535,14.54102645,2.692365076,
2,wild,X119,X119,02.MH,620,549,10.98191005,2.939937876,
2,wild,X12,X12,02.MH,620,532,14.47748466,2.632382567,
2,wild,X120,X120,02.MH,620,546,12.01978366,2.840941311,
2,wild,X121,X121,02.MH,620,532,15.71352999,2.651351325,
2,wild,X122,X122,02.MH,600,538,21.22183002,3.467145778,
2,wild,X123,X123,02.MH,620,538,15.66889082,2.78673888,
2,wild,X13,X13,02.MH,620,526,14.83385972,2.536355275,
2,wild,X14,MH05,02.MH,620,526,13.24853683,2.492779029,
2,wild,X16,X16,02.MH,620,532,14.01959804,2.648546788,
2,wild,X17,MH06,02.MH,620,534,14.08218797,2.699245005,
2,wild,X19,MH07,02.MH,620,529,15.50427958,2.543423942,
2,wild,X20,MH08,02.MH,620,524,15.34259496,2.500487402,
