Source,IID,FID,h_posterior_mode,h_cred_int_lower,h_cred_int_upper,beta_mean,beta_var,beta_shape1,beta_shape2
S0,BR01,01.BR,0.000,0.000,0.006,0.001,2.53E-06,0.65,507.11
S0,BR02,01.BR,0.001,0.000,0.019,0.006,2.54E-05,1.31,224.25
S0,BR03,01.BR,0.000,0.000,0.007,0.002,3.45E-06,0.78,472.86
S0,BR04,01.BR,0.000,0.000,0.006,0.002,2.82E-06,0.81,534.25
S0,BR05,01.BR,0.000,0.000,0.002,0.000,3.97E-07,0.60,1222.04
S0,G0122,02.MH,0.000,0.000,0.002,0.000,4.15E-07,0.30,849.11
S0,G0132,02.MH,0.000,0.000,0.002,0.000,4.67E-07,0.49,1017.62
S0,G0153,02.MH,0.000,0.000,0.003,0.001,7.00E-07,0.91,1139.18
S0,G0185,02.MH,0.023,0.013,0.040,0.025,5.03E-05,11.82,466.38
S0,G0193,02.MH,0.000,0.000,0.004,0.001,1.13E-06,1.06,967.63
S0,G0206,02.MH,0.016,0.007,0.037,0.019,5.97E-05,6.19,312.17
S0,G0248,02.MH,0.000,0.000,0.007,0.002,3.39E-06,0.79,482.48
S0,G0264,02.MH,0.000,0.000,0.002,0.000,3.05E-07,0.64,1451.71
S0,G0300,02.MH,0.000,0.000,0.004,0.001,1.30E-06,0.71,738.84
S0,G0774,02.MH,0.000,0.000,0.003,0.001,5.11E-07,0.52,1006.01
S0,G101,02.MH,0.001,0.000,0.014,0.004,1.46E-05,1.19,283.53
S0,G107,02.MH,0.000,0.000,0.003,0.001,4.81E-07,0.82,1299.24
S0,G111,02.MH,0.000,0.000,0.002,0.000,2.05E-07,0.56,1658.55
S0,G115,02.MH,0.000,0.000,0.007,0.002,3.94E-06,0.97,492.75
S0,G118,02.MH,0.000,0.000,0.003,0.001,5.51E-07,0.75,1167.54
S0,G131,02.MH,0.007,0.002,0.033,0.013,6.64E-05,2.37,185.00
S0,G133,02.MH,0.000,0.000,0.004,0.001,9.77E-07,0.73,864.09
S0,G163,02.MH,0.000,0.000,0.004,0.001,1.19E-06,0.23,435.83
S0,G169,02.MH,0.000,0.000,0.002,0.000,3.10E-07,0.77,1575.61
S0,G183,02.MH,0.000,0.000,0.001,0.000,1.52E-07,0.39,1609.54
S0,MH01,02.MH,0.000,0.000,0.007,0.002,4.18E-06,0.88,457.18
S0,MH02,02.MH,0.000,0.000,0.002,0.001,4.63E-07,0.60,1136.30
S0,MH03,02.MH,0.003,0.001,0.022,0.008,3.30E-05,1.72,224.92
S0,MH04,02.MH,0.000,0.000,0.002,0.001,3.08E-07,0.89,1699.30
S0,MH05,02.MH,0.000,0.000,0.002,0.001,2.86E-07,1.48,2268.30
S0,MH06,02.MH,0.000,0.000,0.006,0.001,2.49E-06,0.67,516.29
S0,MH07,02.MH,0.010,0.004,0.031,0.014,4.95E-05,3.74,268.96
S0,MH08,02.MH,0.000,0.000,0.002,0.001,3.46E-07,1.35,1971.22
S0,MH09,02.MH,0.010,0.004,0.031,0.014,5.25E-05,3.75,260.95
S0,MH10,02.MH,0.000,0.000,0.003,0.001,5.43E-07,0.71,1145.63
S0,W2703,02.MH,0.000,0.000,0.003,0.001,5.57E-07,0.53,972.66
S0,EB01,03.EL,0.000,0.000,0.004,0.001,1.16E-06,0.58,703.62
S0,EB02,03.EL,0.000,0.000,0.002,0.001,4.13E-07,0.92,1489.97
S0,EB03,03.EL,0.000,0.000,0.010,0.003,7.43E-06,1.01,367.30
S0,EB04,03.EL,0.000,0.000,0.002,0.001,4.56E-07,0.66,1201.74
S0,EB05,03.EL,0.000,0.000,0.003,0.000,5.61E-07,0.40,837.34
S0,EB06,03.EL,0.000,0.000,0.002,0.001,4.51E-07,0.88,1392.62
S0,EB07,03.EL,0.000,0.000,0.001,0.000,1.65E-07,0.29,1319.08
S0,EB08,03.EL,0.000,0.000,0.010,0.002,7.82E-06,0.75,307.10
S0,EB09,03.EL,0.000,0.000,0.002,0.001,4.43E-07,0.87,1394.81
S0,EB10,03.EL,0.000,0.000,0.003,0.001,6.32E-07,0.54,924.65
S0,EB11,03.EL,0.000,0.000,0.004,0.001,1.07E-06,0.50,684.10
S0,EB12,03.EL,0.000,0.000,0.002,0.001,3.67E-07,1.06,1699.85
S0,EB13,03.EL,0.000,0.000,0.003,0.001,6.24E-07,0.60,975.42
S0,EB14,03.EL,0.000,0.000,0.004,0.001,1.05E-06,0.77,853.21
S0,EB15,03.EL,0.043,0.030,0.062,0.045,6.33E-05,30.18,644.35
S0,EB16,03.EL,0.000,0.000,0.004,0.001,1.07E-06,0.81,869.86
S0,EL01,03.EL,0.000,0.000,0.003,0.001,6.79E-07,0.57,914.79
S0,EL02,03.EL,0.000,0.000,0.003,0.001,5.28E-07,0.77,1209.67
S0,EL03,03.EL,0.000,0.000,0.003,0.001,6.07E-07,0.60,996.50
S0,EL04,03.EL,0.000,0.000,0.005,0.002,2.10E-06,1.18,747.75
S0,EL05,03.EL,0.000,0.000,0.002,0.000,4.85E-07,0.46,967.72
S0,EL06,03.EL,0.000,0.000,0.004,0.001,1.10E-06,0.69,792.05
S0,EL07,03.EL,0.000,0.000,0.004,0.001,1.26E-06,0.69,738.81
S0,EL08,03.EL,0.000,0.000,0.004,0.001,1.55E-06,0.41,510.32
S0,EL09,03.EL,0.000,0.000,0.002,0.001,4.32E-07,0.70,1274.69
S0,EL10,03.EL,0.000,0.000,0.002,0.000,3.18E-07,0.59,1359.80
S0,G250,04.NL,0.000,0.000,0.003,0.001,5.35E-07,0.60,1056.64
S0,G276,04.NL,0.000,0.000,0.002,0.001,4.05E-07,0.77,1375.81
S0,G294,04.NL,0.000,0.000,0.002,0.000,2.39E-07,0.26,1033.96
S0,NL01,04.NL,0.000,0.000,0.005,0.001,2.04E-06,0.69,580.08
S0,NL02,04.NL,0.033,0.022,0.050,0.035,5.22E-05,22.35,619.93
S0,NL03,04.NL,0.102,0.085,0.123,0.103,9.29E-05,102.19,890.68
S0,NL04,04.NL,0.000,0.000,0.004,0.001,9.65E-07,0.74,876.66
S0,NL05,04.NL,0.072,0.056,0.091,0.073,8.04E-05,61.01,777.02
S0,NL07,04.NL,0.000,0.000,0.004,0.001,1.29E-06,0.86,814.96
S0,NL08,04.NL,0.000,0.000,0.004,0.001,1.05E-06,0.65,784.24
S0,NL09,04.NL,0.000,0.000,0.005,0.001,1.54E-06,0.78,710.94
S0,NL10,04.NL,0.043,0.030,0.061,0.044,6.18E-05,30.35,654.40
S0,NL12,04.NL,0.028,0.018,0.042,0.029,3.63E-05,22.50,752.21
S0,NL13,04.NL,0.000,0.000,0.009,0.002,5.65E-06,0.94,405.11
S0,NL14,04.NL,0.000,0.000,0.002,0.000,3.21E-07,0.71,1482.37
S0,NL15,04.NL,0.000,0.000,0.003,0.001,8.75E-07,0.42,694.18
S0,NL16,04.NL,0.000,0.000,0.003,0.000,7.34E-07,0.33,673.68
S0,NL17,04.NL,0.000,0.000,0.004,0.001,1.22E-06,0.53,657.72
S0,NL18,04.NL,0.000,0.000,0.003,0.001,9.15E-07,0.38,642.41
S0,NL19,04.NL,0.116,0.096,0.139,0.117,0.000118795,101.18,765.67
S0,NL20,04.NL,0.023,0.013,0.040,0.025,4.63E-05,13.19,513.58
