Accession,Source_Voucher,IID,FID,Taxon,Population,Longitude,Latitude,Sex,PEReads,Duplicates,Depth
PRJNA1147746,This study,G101,02.MH,P. a. acuticauda,Mt. House,125.590,-17.051,female,99713528,58638314,16.08
PRJNA1147746,This study,G107,02.MH,P. a. acuticauda,Mt. House,125.590,-17.051,male,107171078,50108845,19.96
PRJEB10586,This study,G111,02.MH,P. a. acuticauda,Mt. House,125.590,-17.051,female,144630194,6134405,25.03
PRJNA1147746,This study,G115,02.MH,P. a. acuticauda,Mt. House,125.590,-17.051,female,159527041,88967263,28.61
PRJEB10586,This study,G118,02.MH,P. a. acuticauda,Mt. House,125.590,-17.051,male,208620259,9314080,36.04
PRJNA1147746,This study,G131,02.MH,P. a. acuticauda,Mt. House,125.590,-17.051,female,143163592,73437572,25.59
PRJNA1147746,This study,G133,02.MH,P. a. acuticauda,Mt. House,125.590,-17.051,male,114736585,69051795,17.01
PRJEB10586,This study,G163,02.MH,P. a. acuticauda,Mt. House,125.590,-17.051,female,259575531,13386442,44.16
PRJEB10586,This study,G169,02.MH,P. a. acuticauda,Mt. House,125.590,-17.051,male,128929710,5217708,21.38
PRJEB10586,This study,G183,02.MH,P. a. acuticauda,Mt. House,125.590,-17.051,male,107442438,2730227,18.26
PRJEB10586,This study,G250,04.NL,P. a. acuticauda,Nelson's Hole,127.506,-15.822,male,117039194,4000158,19.63
PRJEB10586,This study,G276,04.NL,P. a. acuticauda,Nelson's Hole,127.506,-15.822,male,107614262,3089246,18.22
PRJEB10586,This study,G294,04.NL,P. a. acuticauda,Nelson's Hole,127.506,-15.822,male,191502942,7873090,31.90
PRJEB10586,This study,W2703,02.MH,P. a. acuticauda,Mt. House,125.590,-17.051,male,112989171,3040438,19.05
PRJEB10586,This study,W2994,04.NL,P. a. acuticauda,Nelson's Hole,127.506,-15.822,female,161363594,6349164,27.96
PRJEB10586,This study,73783,30.OC,P. a. hecki,October Creek,134.860,-16.631,male,197787544,7023361,34.50
PRJNA1147746,This study,73787,30.OC,P. a. hecki,October Creek,134.860,-16.631,male,129229914,67114998,23.30
PRJEB10586,This study,73788,30.OC,P. a. hecki,October Creek,134.860,-16.631,female,229904396,11868368,39.43
PRJEB10586,This study,73790,30.OC,P. a. hecki,October Creek,134.860,-16.631,female,155172168,6910393,27.14
PRJNA1147746,This study,73791,30.OC,P. a. hecki,October Creek,134.860,-16.631,male,123378710,62547746,22.80
PRJNA1147746,This study,73792,30.OC,P. a. hecki,October Creek,134.860,-16.631,female,166319184,79834435,30.10
PRJNA1147746,This study,73793,30.OC,P. a. hecki,October Creek,134.860,-16.631,female,112629822,53812705,21.12
PRJEB10586,This study,73900,30.OC,P. a. hecki,October Creek,134.860,-16.631,female,105183424,5820177,18.00
PRJEB10586,This study,73903,30.OC,P. a. hecki,October Creek,134.860,-16.631,female,184470128,8019810,31.95
PRJEB10586,This study,73907,30.OC,P. a. hecki,October Creek,134.860,-16.631,male,117682952,3866211,19.75
PRJEB10586,This study,73933,30.OC,P. a. hecki,October Creek,134.860,-16.631,male,160729832,5882600,26.80
PRJEB10586,This study,73942,30.OC,P. a. hecki,October Creek,134.860,-16.631,male,95439913,3190840,16.06
PRJEB10586,This study,73948,30.OC,P. a. hecki,October Creek,134.860,-16.631,female,121733210,5440651,20.91
PRJEB10586,This study,73958,30.OC,P. a. hecki,October Creek,134.860,-16.631,male,119582961,4057979,20.27
PRJNA1147746,This study,73959,30.OC,P. a. hecki,October Creek,134.860,-16.631,male,135941555,60988842,25.84
PRJNA1147746,This study,AG03,20.AG,P. a. hecki,Auvergne,130.260,-15.636,male,139133766,68844934,25.28
PRJNA1147746,This study,AG24,20.AG,P. a. hecki,Auvergne,130.260,-15.636,female,110452306,48470041,21.54
PRJNA1147746,This study,AG63,20.AG,P. a. hecki,Auvergne,130.260,-15.636,male,133913907,57425124,25.77
PRJNA1147746,This study,CH08,33.CH,P. a. hecki,Chidna,139.446,-19.387,male,134300925,58523125,25.74
PRJNA1147746,This study,ST01,25.ST,P. a. hecki,Stapleton,131.788,-15.097,male,142969860,74519580,25.60
PRJNA1147746,This study,ST04,25.ST,P. a. hecki,Stapleton,131.788,-15.097,male,130419142,61142570,23.98
PRJNA1147746,This study,ST09,25.ST,P. a. hecki,Stapleton,131.788,-15.097,male,120174597,47518901,23.06
PRJNA1147746,This study,TP01,26.TP,P. a. hecki,Tipperary,130.999,-13.608,female,97501585,53120594,17.25
PRJNA1147746,This study,TP08,26.TP,P. a. hecki,Tipperary,130.999,-13.608,male,121882863,61980103,22.10
PRJNA1147746,This study,TP11,26.TP,P. a. hecki,Tipperary,130.999,-13.608,male,153005095,81161252,27.14
PRJNA1147746,B57436,BT01,BT,P. c. atropygialis,Holroyd River,142.640,-14.180,male,354155311,32454460,56.95
PRJNA1147746,B58131,BT29,BT,P. c. cincta,Galilee Basin,146.260,-21.920,male,343027593,72073430,53.68
