chrom,IID,phase_N50,group,sex,replicate
chr2,45438,8883,linked-read,male,no
chr8,45438,9133,linked-read,male,no
chrZ,45438,7628,linked-read,male,no
chr2,61109,5359,linked-read,male,no
chr8,61109,5978,linked-read,male,no
chrZ,61109,5913,linked-read,male,no
chr2,61111,13920,linked-read,male,no
chr8,61111,13487,linked-read,male,no
chrZ,61111,13363,linked-read,male,no
chr2,61126,3187,linked-read,female,no
chr8,61126,3726,linked-read,female,no
chrZ,61126,4027,linked-read,female,no
chr2,61127,11265,linked-read,female,no
chr8,61127,11580,linked-read,female,no
chrZ,61127,9214,linked-read,female,no
chr2,61128,9010,linked-read,male,no
chr8,61128,9589,linked-read,male,no
chrZ,61128,9300,linked-read,male,no
chr2,61130,4418,linked-read,male,no
chr8,61130,4975,linked-read,male,no
chrZ,61130,4691,linked-read,male,no
chr2,61131,7100,linked-read,male,no
chr8,61131,7456,linked-read,male,no
chrZ,61131,7255,linked-read,male,no
chr2,61132,5232,linked-read,male,no
chr8,61132,5108,linked-read,male,no
chrZ,61132,5343,linked-read,male,no
chr2,61137,13246,linked-read,male,no
chr8,61137,14162,linked-read,male,no
chrZ,61137,12995,linked-read,male,no
chr2,61138,3696,linked-read,male,no
chr8,61138,4203,linked-read,male,no
chrZ,61138,3502,linked-read,male,no
chr2,61147,4397,linked-read,male,no
chr8,61147,4446,linked-read,male,no
chrZ,61147,4574,linked-read,male,no
chr2,61157,10898,linked-read,male,no
chr8,61157,10256,linked-read,male,no
chrZ,61157,10504,linked-read,male,no
chr2,61161,8364,linked-read,male,no
chr8,61161,8437,linked-read,male,no
chrZ,61161,8072,linked-read,male,no
chr2,61175,11466,linked-read,female,no
chr8,61175,12710,linked-read,female,no
chrZ,61175,11238,linked-read,female,no
chr2,61184,3879,linked-read,male,no
chr8,61184,3831,linked-read,male,no
chrZ,61184,4324,linked-read,male,no
chr2,61185,6669,linked-read,female,no
chr8,61185,6670,linked-read,female,no
chrZ,61185,6438,linked-read,female,no
chr2,61189,5055,linked-read,female,no
chr8,61189,4944,linked-read,female,no
chrZ,61189,4178,linked-read,female,no
chr2,61196,7977,linked-read,female,no
chr8,61196,7827,linked-read,female,no
chrZ,61196,6444,linked-read,female,no
chr2,61316,11416,linked-read,male,no
chr8,61316,10933,linked-read,male,no
chrZ,61316,10037,linked-read,male,no
chr2,61317,18413,linked-read,male,no
chr8,61317,17980,linked-read,male,no
chrZ,61317,16200,linked-read,male,no
chr2,61338,13599,linked-read,female,no
chr8,61338,13276,linked-read,female,no
chrZ,61338,11202,linked-read,female,no
chr2,61345,9128,linked-read,male,no
chr8,61345,8956,linked-read,male,no
chrZ,61345,9044,linked-read,male,no
chr2,61351,10715,linked-read,male,no
chr8,61351,11055,linked-read,male,no
chrZ,61351,10652,linked-read,male,no
chr2,61374,8961,linked-read,female,no
chr8,61374,8874,linked-read,female,no
chrZ,61374,7918,linked-read,female,no
chr2,61527,12870,linked-read,male,no
chr8,61527,12844,linked-read,male,no
chrZ,61527,12668,linked-read,male,no
chr2,61538,11161,linked-read,female,no
chr8,61538,10755,linked-read,female,no
chrZ,61538,9037,linked-read,female,no
chr2,61701,10080,linked-read,male,no
chr8,61701,10051,linked-read,male,no
chrZ,61701,9580,linked-read,male,no
chr2,61739,7702,linked-read,female,no
chr8,61739,7694,linked-read,female,no
chrZ,61739,7568,linked-read,female,no
chr2,61772,11712,linked-read,male,no
chr8,61772,11971,linked-read,male,no
chrZ,61772,11404,linked-read,male,no
chr2,61794,8626,linked-read,female,no
chr8,61794,8837,linked-read,female,no
chrZ,61794,8065,linked-read,female,no
chr2,61851,10823,linked-read,male,no
chr8,61851,10709,linked-read,male,no
chrZ,61851,10445,linked-read,male,no
chr2,61894,9679,linked-read,female,no
chr8,61894,9588,linked-read,female,no
chrZ,61894,8260,linked-read,female,no
chr2,61933,3505,linked-read,female,no
chr8,61933,3386,linked-read,female,no
chrZ,61933,3812,linked-read,female,no
chr2,69162,11110,linked-read,female,no
chr8,69162,10971,linked-read,female,no
chrZ,69162,8398,linked-read,female,no
chr2,69535,3578,linked-read,female,no
chr8,69535,3935,linked-read,female,no
chrZ,69535,2838,linked-read,female,no
chr2,69548,6698,linked-read,female,no
chr8,69548,6710,linked-read,female,no
chrZ,69548,6277,linked-read,female,no
chr2,69701,12203,linked-read,female,no
chr8,69701,12244,linked-read,female,no
chrZ,69701,9271,linked-read,female,no
chr2,69702,13921,linked-read,female,no
chr8,69702,13926,linked-read,female,no
chrZ,69702,10311,linked-read,female,no
chr2,69793,9220,linked-read,female,no
chr8,69793,9465,linked-read,female,no
chrZ,69793,7928,linked-read,female,no
chr2,73780,2587,linked-read,male,no
chr8,73780,2657,linked-read,male,no
chrZ,73780,2750,linked-read,male,no
chr2,73782,8936,linked-read,male,no
chr8,73782,8452,linked-read,male,no
chrZ,73782,8932,linked-read,male,no
chr2,73783,1958,short-read,male,no
chr8,73783,1651,short-read,male,no
chrZ,73783,1436,short-read,male,no
chr2,73787,7574,linked-read,male,yes
chr2,73787,775,short-read,male,yes
chr8,73787,7749,linked-read,male,yes
chr8,73787,714,short-read,male,yes
chrZ,73787,8108,linked-read,male,yes
chrZ,73787,619,short-read,male,yes
chr2,73788,1624,short-read,female,no
chr8,73788,1371,short-read,female,no
chrZ,73788,939,short-read,female,no
chr2,73790,1528,short-read,female,no
chr8,73790,1314,short-read,female,no
chrZ,73790,987,short-read,female,no
chr2,73791,10130,linked-read,male,yes
chr2,73791,911,short-read,male,yes
chr8,73791,9310,linked-read,male,yes
chr8,73791,857,short-read,male,yes
chrZ,73791,9774,linked-read,male,yes
chrZ,73791,884,short-read,male,yes
chr2,73792,7126,linked-read,female,yes
chr2,73792,771,short-read,female,yes
chr8,73792,6899,linked-read,female,yes
chr8,73792,725,short-read,female,yes
chrZ,73792,5746,linked-read,female,yes
chrZ,73792,454,short-read,female,yes
chr2,73793,6965,linked-read,female,yes
chr2,73793,690,short-read,female,yes
chr8,73793,7332,linked-read,female,yes
chr8,73793,622,short-read,female,yes
chrZ,73793,8068,linked-read,female,yes
chrZ,73793,390,short-read,female,yes
chr2,73900,1116,short-read,female,no
chr8,73900,944,short-read,female,no
chrZ,73900,799,short-read,female,no
chr2,73903,1583,short-read,female,no
chr8,73903,1277,short-read,female,no
chrZ,73903,895,short-read,female,no
chr2,73907,1398,short-read,male,no
chr8,73907,1199,short-read,male,no
chrZ,73907,1100,short-read,male,no
chr2,73908,8710,linked-read,male,no
chr8,73908,8284,linked-read,male,no
chrZ,73908,8337,linked-read,male,no
